,Aatrox,Aatrox,Ahri,Akali,Akali,Alistar,Amumu,Anivia,Annie,Aphelios,Ashe,Ashe,Aurelion?Sol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Cassiopeia,Cho'Gath,Cho'Gath,Darius,Diana,Diana,Dr.?Mundo,Dr.?Mundo,Draven,Ekko,Ekko,Elise,Evelynn,Ezreal,Fiddlesticks,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Irelia,Ivern,Janna,Jarvan?IV,Jax,Jax,Jayce,Jhin,Jinx,Kai'Sa,Kalista,Karma,Karthus,Kassadin,Katarina,Katarina,Kayle,Kayn,Kennen,Kha'Zix,Kindred,Kled,Kog'Maw,LeBlanc,LeBlanc,Lee?Sin,Leona,Lissandra,Lucian,Lulu,Lux,Lux,Malphite,Malphite,Malzahar,Maokai,Master?Yi,Miss?Fortune,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Neeko,Nidalee,Nocturne,Nunu?&?Willump,Olaf,Orianna,Ornn,Pantheon,Pantheon,Pantheon,Poppy,Pyke,Qiyana,Qiyana,Quinn,Rakan,Rammus,Rek'Sai,Renekton,Rengar,Rengar,Riven,Rumble,Rumble,Ryze,Ryze,Sejuani,Senna,Senna,Sett,Sett,Shaco,Shaco,Shen,Shen,Shyvana,Singed,Sion,Sivir,Sona,Soraka,Swain,Sylas,Sylas,Sylas,Sylas,Syndra,Tahm?Kench,Taliyah,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,Twisted?Fate,Twitch,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Veigar,Veigar,Vel'Koz,Vel'Koz,Vi,Viktor,Vladimir,Vladimir,Volibear,Volibear,Warwick,Xayah,Xerath,Xerath,Xin?Zhao,Yasuo,Yasuo,Yasuo,Yorick,Yuumi,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
Illaoi,0.942571111,0.907417788,0.750489016,0.97818197,0.980770185,0.582658204,0.808400135,0.923196449,0.609826697,0.630363738,0.718345582,0.603889451,0.894216547,0.698550259,0.962792089,0.676955721,0.686204927,0.576940937,0.647525488,0.914793631,0.92295609,0.942025295,0.987783971,0.912012812,0.928147966,0.973283895,0.848223224,0.665906398,0.949604477,0.616392778,0.848096115,0.988622813,0.942597779,0.972217823,0.526620579,0.692281266,0.881957332,0.966734113,0.871976584,0.853137883,0.935572416,0.869011921,0.915184331,0.828575446,0.945028025,0.713480936,0.365670519,-1,0.952386435,0.941223241,0.588228988,0.746992962,0.745703117,0.851128781,0.929812094,0.796783118,0.666129489,0.644860042,0.689298289,0.849962904,0.879829834,0.928770229,0.973884769,0.954788312,0.831346991,0.906369946,0.742374635,0.859747551,0.82548084,0.861331119,0.830494103,0.584492916,0.85685464,0.768194683,0.808972484,0.567540858,0.821410239,0.721464879,0.583608138,0.227280251,0.534069442,0.776700689,0.827660274,0.382939616,0.880118222,0.899332185,0.534476322,0.995586345,0.909397648,0.242829027,0.749569463,0.708681419,0.71590485,0.734711294,0.839651264,0.269522577,0.844788153,0.582758898,0.884526006,0.895658331,0.932143382,0.946565837,0.918618124,0.733930782,0.884168357,0.861754049,0.727528087,0.711310359,0.719794541,0.733068875,0.894807481,0.911591386,0.961110569,0.929895727,0.857664742,0.868826232,0.938319622,0.946577352,0.598788868,0.674401088,0.717330282,0.923387836,0.909084382,0.947599232,0.703302359,0.684726333,0.858434661,0.935251044,0.951130081,0.80027719,0.653808961,0.557365535,-1.229132791,0.997186344,0.826321474,0.998524287,0.956817817,0.983082525,0.617807839,0.629874132,0.709278433,0.970927976,0.836666839,0.315438802,0.687660261,0.642320358,0.730699087,0.473294184,0.921750608,0.872858519,0.703602325,0.965404396,0.678121625,0.921363031,0.634341963,0.819450631,0.545880084,0.569725199,0.691451849,0.221366745,0.382479232,0.885698812,0.361549565,0.527792058,0.502887435,0.734593269,0.838140643,0.473202752,0.653831503,0.145405521,0.298616848,0.703287444,0.886223885,0.896957854,0.898471525,0.981966017,-0.936873501,-0.318702017,0.717878412,0.1647036,0.900885036,0.638776473,0.569283797
Irelia,0.98496422,0.912373444,0.674754552,0.961090602,0.955064185,0.720778951,0.912835154,0.932893414,0.52000382,0.552791835,0.698255444,0.625502372,0.858940446,0.647457648,0.968595831,0.846959686,0.58064999,0.781974385,0.58669741,0.949065039,0.86468163,0.886564389,0.980801802,0.961612176,0.986971683,0.978726714,0.792742817,0.711263254,0.960282864,0.591699252,0.855772859,0.955958421,0.976789233,0.949569262,0.414295288,0.683963703,0.873341098,0.992982813,0.864169506,0.8570459,0.903649849,0.93505398,0.937413994,0.865870301,0.962635901,0.788123493,0.207926116,0.952386435,-1,0.998725636,0.719621551,0.802044918,0.870452654,0.93438189,0.981786429,0.75419522,0.604355892,0.607051827,0.683227643,0.853870486,0.899589929,0.82695469,0.93608253,0.911832213,0.870912975,0.867162306,0.779034388,0.814648559,0.842945691,0.862831426,0.911407861,0.458423832,0.800064944,0.81310879,0.920893713,0.780234753,0.788690341,0.693839954,0.808922629,0.095672338,0.476503642,0.794173056,0.817389499,0.301401789,0.881746881,0.932671714,0.469989305,0.974031084,0.965318975,0.256377297,0.841944746,0.87066228,0.664143825,0.727361449,0.90094155,0.372563063,0.908034638,0.508265626,0.934285072,0.970677116,0.935223088,0.957275292,0.949796868,0.906134677,0.943611883,0.82109952,0.697351016,0.882294172,0.843913642,0.803900552,0.962951997,0.943268037,0.994449648,0.981569404,0.792731946,0.815817558,0.895828375,0.912915503,0.750069498,0.552954249,0.647807098,0.967034208,0.918311994,0.992058824,0.62136479,0.860035957,0.942644148,0.954438192,0.966719657,0.872052427,0.614428042,0.492959645,-1.265970942,0.966279087,0.844843234,0.966975984,0.995305486,0.964398385,0.525479406,0.794963468,0.589570145,0.934100754,0.816731785,0.474111649,0.5588153,0.839200623,0.723787147,0.555085108,0.97921851,0.879507402,0.643133993,0.964176822,0.807268147,0.943858296,0.595619938,0.801167156,0.483220683,0.50559858,0.717141619,0.049220764,0.236649271,0.979113684,0.213024316,0.405715976,0.395525645,0.858116479,0.917764703,0.559125321,0.620803913,-0.028624101,0.1472232,0.752409201,0.910181038,0.913989141,0.934348111,0.983249788,-1.037200039,-0.320409352,0.650897227,-0.011098509,0.913343442,0.513102466,0.458970076
Irelia,0.983622267,0.91647565,0.64174036,0.947740252,0.940793309,0.747607243,0.928258578,0.919864151,0.481369189,0.515125687,0.669812918,0.599910142,0.837617066,0.615430404,0.961954138,0.861948228,0.544614385,0.805591338,0.551441958,0.940522473,0.843846655,0.866831806,0.971925088,0.967600946,0.987780159,0.971896019,0.765232759,0.729380282,0.961699704,0.559142272,0.860863413,0.942374285,0.97518342,0.938304968,0.370689549,0.692136743,0.854641754,0.991686813,0.843536169,0.840710261,0.883671653,0.932608452,0.929396271,0.875972826,0.954516708,0.807193356,0.155388734,0.941223241,0.998725636,-1,0.7296872,0.80300938,0.889376826,0.945078787,0.976936721,0.726844869,0.569245143,0.573807541,0.65502288,0.833882728,0.884563964,0.802420637,0.919247818,0.892180136,0.854973567,0.847817503,0.793223118,0.788732074,0.849886953,0.862628502,0.918353045,0.415141234,0.773608935,0.794384761,0.935982414,0.803639843,0.76377111,0.664504037,0.824049943,0.043304376,0.43746405,0.773910242,0.796466539,0.255824331,0.888276226,0.936000103,0.430789272,0.964425765,0.959056545,0.262946733,0.847313742,0.882264975,0.633017225,0.731324607,0.910396484,0.405309434,0.919697804,0.469756314,0.93303857,0.978564095,0.920450693,0.946118634,0.943641384,0.915928224,0.952461149,0.7958253,0.669258708,0.900280596,0.865107251,0.819377545,0.970980024,0.946573777,0.99342116,0.975186243,0.765260969,0.790502394,0.875966097,0.894675917,0.777539997,0.521757945,0.630344904,0.971802622,0.909419394,0.988476676,0.586345935,0.872799015,0.944279847,0.956713485,0.961694949,0.877647058,0.581147436,0.484520431,-1.250060662,0.958183559,0.854273014,0.957823382,0.991439407,0.960699511,0.486348792,0.820925074,0.551235962,0.921275795,0.793122699,0.504767877,0.519169726,0.85788153,0.697052441,0.580454131,0.984203748,0.861314492,0.609713739,0.953089071,0.828546945,0.932853293,0.562061898,0.776871761,0.444783933,0.467928897,0.695462417,-0.006420597,0.18771417,0.985419404,0.162057953,0.396406865,0.3898979,0.878241233,0.921056178,0.584803163,0.588430447,-0.08613229,0.095693964,0.767601637,0.894163222,0.897889413,0.92191203,0.974236559,-1.045341523,-0.293539861,0.616543195,-0.068258922,0.905293702,0.471843129,0.418284321
Ivern,0.810434075,0.734828281,0.248960663,0.655073488,0.635540688,0.720825192,0.715153823,0.51399539,0.00353147,0.137273852,0.30547503,0.261589924,0.403030213,0.143578663,0.78040391,0.438293005,-0.036579719,0.454998248,0.197608967,0.486118295,0.636980303,0.625835625,0.610345667,0.602365345,0.612548873,0.762112028,0.338302287,0.676340268,0.586655312,0.160508552,0.806382587,0.64145104,0.829610219,0.744559725,-0.099458805,0.781348792,0.482516231,0.731953113,0.435830476,0.29053334,0.573228645,0.437992821,0.418815095,0.810828626,0.805856652,0.750600899,-0.335214376,0.588228988,0.719621551,0.7296872,-1,0.96449077,0.768822278,0.823201844,0.611234061,0.273060469,0.258047795,0.198339787,0.30674166,0.517160421,0.578600383,0.548902797,0.616620986,0.57841551,0.621035185,0.708614339,0.763779819,0.372178586,0.831744041,0.861105566,0.408283154,-0.050521978,0.375938977,0.483742339,0.739630345,0.445596091,0.300214832,0.281788693,0.682987178,-0.442911684,-0.022505487,0.278893585,0.302586538,-0.217626918,0.681516985,0.846158888,0.011281354,0.634036948,0.663058478,0.769489666,0.240645588,0.467535083,0.149755227,0.842834305,0.848906039,0.530998072,0.767215328,0.026106801,0.410394895,0.766072617,0.527070845,0.52745645,0.453135331,0.825997471,0.775137501,0.376468105,0.1562697,0.852032596,0.66696069,0.81538168,0.664540882,0.820054253,0.66535183,0.653710084,0.275056751,0.290325246,0.563816917,0.566515833,0.524813868,0.539201626,0.761843532,0.618217262,0.352287435,0.781050936,0.038453967,0.483688018,0.480995191,0.768635457,0.49675662,0.294396728,0.216693568,0.767361638,-0.27619337,0.613020238,0.745764431,0.616650355,0.724786707,0.65208506,0.054988538,0.5770089,0.222532056,0.715400771,0.333890043,0.774151376,0.015991722,0.52730637,0.333757598,0.672904083,0.752385083,0.524264147,0.180657191,0.699886485,0.80603338,0.504926774,0.209631607,0.419792388,0.024820341,0.013368004,0.259815293,-0.549040315,-0.385751657,0.808578623,-0.324367811,0.59802291,0.609970607,0.615595268,0.403433673,0.67267735,0.20707932,-0.616688128,-0.45933936,0.784800995,0.57976434,0.54424039,0.549336319,0.635922274,-0.107253748,0.168360619,0.150906605,-0.612507686,0.846452894,0.05442086,-0.137720817
Janna,0.887827438,0.842761268,0.419868431,0.78448951,0.772373821,0.718588761,0.753450701,0.629686202,0.189111231,0.305317908,0.432237319,0.351879158,0.552752351,0.303081629,0.881352725,0.444885773,0.172592886,0.430227008,0.350933095,0.592283503,0.783997824,0.774471769,0.740011302,0.693973794,0.696017684,0.868748812,0.50267433,0.744644794,0.707652569,0.292026398,0.900403454,0.78343271,0.90711055,0.869681947,0.100566825,0.871879779,0.60655833,0.829294889,0.5646489,0.425016947,0.712585385,0.525376322,0.539552726,0.883046008,0.896712099,0.795159478,-0.100435129,0.746992962,0.802044918,0.80300938,0.96449077,-1,0.783771023,0.867869569,0.697167667,0.427033735,0.409549412,0.337874023,0.421715209,0.626270044,0.676282798,0.734400979,0.761542291,0.727092855,0.699411342,0.837477527,0.833540574,0.528610749,0.91326192,0.953654776,0.486878696,0.160747789,0.536578478,0.564339356,0.770481805,0.411200431,0.448990092,0.416162902,0.61467643,-0.233101011,0.139848353,0.396444091,0.438332255,-0.039971962,0.795140828,0.923537473,0.171796008,0.771657522,0.736043004,0.798084578,0.319983277,0.477876524,0.311022172,0.929175386,0.904197633,0.540403696,0.830255303,0.197212002,0.513193552,0.824473316,0.649055478,0.647416273,0.565912098,0.79836499,0.842580346,0.529830294,0.30543386,0.822761901,0.690077908,0.859115675,0.737240078,0.902492648,0.763979717,0.73547186,0.452916839,0.460908059,0.708988722,0.707106986,0.533169496,0.706904587,0.883899017,0.713067553,0.486993201,0.858880052,0.230479605,0.482214759,0.553040894,0.8660631,0.619832956,0.387599328,0.356601163,0.873952266,-0.261712533,0.757084212,0.837530418,0.762858561,0.812434963,0.787356057,0.238616099,0.573962555,0.419170574,0.849201935,0.47558277,0.727751534,0.235286556,0.502527766,0.451826466,0.700595385,0.825553038,0.634010108,0.343011564,0.811432745,0.80885991,0.615456492,0.34692674,0.547535612,0.184112545,0.17752104,0.359432189,-0.303752923,-0.154244946,0.849280092,-0.099191322,0.757780814,0.757904963,0.644865812,0.484480857,0.69786607,0.343852885,-0.372518553,-0.227173153,0.842703007,0.677588748,0.651052521,0.644882926,0.756775458,-0.047608086,0.219003376,0.324124415,-0.365437289,0.928723246,0.26180268,0.069429391
Jarvan IV,0.879914264,0.919558244,0.15421567,0.713147914,0.698483706,0.968400236,0.990580427,0.624219741,-0.089563987,-0.028120933,0.201746104,0.118353191,0.463874636,0.105540577,0.797066659,0.817196004,-4.63E-05,0.860702327,0.027428488,0.692140697,0.546017694,0.574501865,0.773756418,0.919110897,0.859251723,0.818979627,0.343180102,0.913791567,0.885622932,0.036204354,0.899815811,0.71524146,0.865025137,0.754940267,-0.241169066,0.801644867,0.498947558,0.88674942,0.477268326,0.490323617,0.568969529,0.733179332,0.685487285,0.94308927,0.787650163,0.963030037,-0.525900267,0.745703117,0.870452654,0.889376826,0.768822278,0.783771023,-1,0.980849289,0.781123452,0.27692454,0.062766644,0.057741765,0.185950451,0.472010017,0.566981015,0.495083381,0.655954997,0.593453474,0.538942631,0.579077668,0.92356414,0.382206084,0.901192022,0.849032792,0.815959251,-0.17626836,0.359257005,0.42653631,0.991036973,0.821467578,0.336630258,0.190029246,0.755422561,-0.676236068,-0.144433443,0.371336766,0.39560702,-0.39382647,0.919697655,0.923457156,-0.151816524,0.776290354,0.733687054,0.402901917,0.704927522,0.795326654,0.130873852,0.788818936,0.961384362,0.770474999,0.97918075,-0.101907465,0.752466935,0.962931556,0.625911466,0.688217148,0.722148605,0.86779444,0.970655851,0.393427271,0.188593722,0.959280453,0.990479382,0.954800687,0.948561065,0.930071918,0.875911822,0.772742056,0.342775626,0.384641754,0.556378618,0.586029574,0.951299431,0.180765169,0.442419627,0.91759733,0.659916565,0.848934171,0.061093585,0.796870859,0.786544065,0.923032324,0.773745363,0.758415506,0.069902904,0.448107737,-0.839820959,0.77402739,0.929378279,0.778955263,0.832456014,0.850343779,-0.076639318,0.960544665,0.046125116,0.710752508,0.388024618,0.819241544,-0.029406841,0.840085813,0.245824738,0.856985769,0.945964119,0.516495428,0.100542652,0.727152323,0.988197324,0.659374539,0.044517195,0.368358193,-0.132624101,-0.104976696,0.250391834,-0.743409407,-0.494786927,0.942780646,-0.519733669,0.399673674,0.43346286,0.977694092,0.780262078,0.862625973,0.078477161,-0.844197853,-0.61445305,0.919540676,0.585506187,0.585510273,0.638448488,0.770129501,-0.914738333,0.152467995,0.108662968,-0.822716503,0.732967947,-0.088334278,-0.182204794
Jax,0.951498057,0.965597713,0.357998689,0.830751544,0.81955805,0.919778852,0.981461794,0.737287819,0.133515884,0.196169967,0.385822053,0.295912726,0.612533236,0.298115344,0.898460878,0.793844919,0.205201967,0.80258132,0.243477668,0.775934384,0.708053793,0.729272114,0.866615604,0.943538392,0.906431154,0.913635201,0.515616819,0.902836695,0.930117229,0.23473877,0.950095147,0.833969723,0.944537117,0.870591648,0.00313048,0.851192614,0.641650614,0.952171452,0.61940648,0.603638178,0.715166405,0.785124281,0.763602995,0.972788267,0.89157798,0.951970455,-0.247917096,0.851128781,0.93438189,0.945078787,0.823201844,0.867869569,0.980849289,-1,0.854313994,0.450075661,0.279506022,0.261358779,0.368333645,0.620968074,0.697395726,0.667655524,0.788144591,0.737408933,0.67308302,0.735337039,0.936594755,0.54782995,0.948699093,0.926257345,0.827890292,0.066552121,0.532991263,0.565555699,0.984425702,0.771236119,0.49800962,0.3761779,0.760028283,-0.394613399,0.075174908,0.505000715,0.537138272,-0.147022767,0.953482952,0.978765003,0.0752643,0.87458791,0.823974532,0.4891665,0.713318877,0.789784413,0.319480074,0.85892626,0.990382943,0.703057837,0.992163315,0.121471316,0.799029627,0.989503454,0.743098267,0.787417029,0.792872734,0.891525958,0.995401587,0.555954277,0.359682513,0.952415301,0.955641927,0.959735097,0.966741163,0.982335753,0.934055528,0.854536801,0.509690773,0.541072516,0.706493289,0.727650415,0.883513371,0.405361444,0.61551174,0.947557472,0.737558655,0.92752438,0.258233113,0.787016409,0.82310087,0.976450961,0.84172599,0.768793926,0.27405402,0.588766386,-0.775044887,0.870814025,0.956553181,0.875592095,0.910764677,0.9244829,0.151172353,0.901198753,0.277826317,0.83740843,0.539532076,0.771857262,0.195440702,0.81130037,0.420733407,0.822604118,0.983226234,0.656229796,0.30178216,0.841656214,0.964374063,0.758513615,0.251902329,0.53387529,0.092039543,0.114019159,0.40212342,-0.451345286,-0.232382307,0.977804176,-0.244457978,0.5339708,0.552140377,0.942981179,0.804952631,0.826018089,0.277840521,-0.543407432,-0.339250835,0.928115234,0.711887093,0.70986312,0.744777345,0.865564051,-0.739926145,0.131798993,0.307201009,-0.52432419,0.850987288,0.150694114,0.045670962
Jax,0.943601536,0.820172146,0.751503471,0.956888204,0.951778114,0.588405833,0.843322012,0.974508312,0.6326897,0.647903332,0.786260514,0.732496549,0.914738409,0.751881332,0.935092717,0.867868744,0.690148849,0.773402462,0.678172307,0.990065596,0.856600842,0.881610599,0.976018887,0.927294272,0.985296026,0.944512908,0.857754662,0.557959747,0.921415599,0.702718066,0.737291177,0.944053292,0.930603582,0.913341702,0.532776823,0.518434188,0.925766213,0.955866517,0.925167692,0.934809329,0.924534991,0.976385819,0.979161477,0.750178311,0.930747308,0.655688884,0.338289075,0.929812094,0.981786429,0.976936721,0.611234061,0.697167667,0.781123452,0.854313994,-1,0.837388514,0.684041563,0.707471243,0.775374567,0.906484193,0.941463338,0.811699601,0.935235631,0.923063737,0.912051462,0.848441521,0.637306583,0.876822152,0.719329718,0.753904089,0.926463442,0.56326894,0.857765275,0.884808448,0.854713838,0.788150384,0.868669315,0.783486992,0.825147862,0.250087442,0.60500848,0.889941998,0.900408959,0.447550591,0.781866842,0.845800541,0.590197036,0.95610941,0.987056053,0.042366382,0.888589173,0.901847292,0.766790729,0.577157542,0.799781585,0.160616621,0.815778584,0.623267853,0.966139799,0.916122793,0.972769443,0.987808526,0.984565051,0.88725862,0.867033892,0.883798829,0.804198882,0.820345005,0.758975561,0.670813246,0.919473837,0.861543928,0.972937407,0.996465588,0.861898579,0.884810161,0.914205762,0.932704538,0.666623843,0.511037846,0.557640413,0.930894765,0.962699109,0.968149528,0.729371884,0.889698882,0.97274329,0.881274035,0.980183508,0.899162094,0.711055243,0.334824931,-1.634569732,0.9451127,0.724629183,0.943310808,0.983245662,0.917768897,0.628665698,0.727571799,0.648266531,0.903075409,0.893528804,0.283434804,0.650996652,0.84941224,0.810737314,0.367815669,0.927717822,0.929414701,0.738343621,0.95805016,0.691091111,0.985610199,0.693383031,0.866905073,0.60227444,0.626491548,0.823998867,0.201289679,0.381753405,0.936914781,0.346173854,0.221753833,0.201067294,0.789761297,0.947011417,0.373537628,0.721510731,0.12952803,0.298626464,0.602982304,0.951329044,0.958505556,0.978249176,0.980890771,-1.330833501,-0.635564256,0.747888888,0.146528852,0.870524063,0.600614019,0.584464793
Jayce,0.709646697,0.465862822,0.982993191,0.874989022,0.879321028,-0.030640489,0.384195579,0.938423513,0.9580583,0.954577721,0.984127996,0.943619436,0.982952406,0.98958805,0.783652252,0.483306427,0.96588974,0.273864763,0.960539224,0.8801661,0.882269227,0.89251683,0.832923766,0.58658079,0.736941937,0.772517904,0.993712299,0.003238247,0.623054222,0.965330364,0.364892233,0.855664809,0.711468974,0.790120228,0.918843679,0.09737289,0.976560788,0.709548353,0.981962139,0.941566378,0.942431142,0.791340416,0.856467159,0.333200252,0.78503102,0.12452372,0.823882531,0.796783118,0.75419522,0.726844869,0.273060469,0.427033735,0.27692454,0.450075661,0.837388514,-1,0.953170472,0.969229463,0.974307614,0.972631945,0.950321474,0.852853498,0.892893613,0.92392496,0.928916437,0.846536879,0.153101513,0.992513803,0.336685246,0.457686099,0.616541244,0.927593545,0.990203813,0.950802906,0.405386744,0.330405464,0.997878684,0.987593799,0.510568155,0.77945033,0.940585939,0.970044648,0.98478695,0.874458954,0.389841395,0.520255166,0.935968044,0.811199698,0.873950546,-0.326894083,0.607854129,0.571617176,0.99250936,0.222414839,0.395668657,-0.584625491,0.382892721,0.952387882,0.756739816,0.558092279,0.93979855,0.902536263,0.83575956,0.568680952,0.479592437,0.992531975,0.991326369,0.380650583,0.222766854,0.175634757,0.553498125,0.533914766,0.727115922,0.850993418,0.988992455,0.985790439,0.94085162,0.940008406,0.056459398,0.659516642,0.525120467,0.60119479,0.842203897,0.769650372,0.980663548,0.547759753,0.737461742,0.565522458,0.799010727,0.599283072,0.969257079,0.15044715,-2.181019095,0.794988098,0.295083641,0.787612022,0.798599454,0.681511026,0.953719802,0.155941748,0.928019059,0.814725158,0.992347554,-0.389919902,0.953418718,0.443139663,0.983975908,-0.275920497,0.59783451,0.969366036,0.986295359,0.869049306,0.14701386,0.914740164,0.961918758,0.989837052,0.940522631,0.952232654,0.967204209,0.75332331,0.848681128,0.613601448,0.830359904,-0.008673491,-0.078498587,0.272361511,0.682694737,-0.273960397,0.972954741,0.712580762,0.807185276,0.099018268,0.94617798,0.952027133,0.927194713,0.847225935,-1.533707246,-1.364129453,0.988753444,0.722397659,0.751675886,0.934392282,0.938342771
Jhin,0.593311333,0.30033474,0.987072446,0.784420173,0.78880706,-0.261473529,0.158075742,0.823939839,0.971187413,0.994423397,0.980649171,0.948921516,0.90380109,0.96733142,0.698965841,0.209994861,0.924048543,-0.023956243,0.997411904,0.718759588,0.86626037,0.858594511,0.692887207,0.360436789,0.544639139,0.671851194,0.947580387,-0.203441931,0.413624967,0.976738406,0.235291173,0.760542698,0.610164256,0.716807105,0.961033593,-0.003526138,0.909273589,0.560213656,0.907232642,0.796096652,0.887400331,0.583269392,0.671029519,0.178573767,0.715434532,-0.076730144,0.903261449,0.666129489,0.604355892,0.569245143,0.258047795,0.409549412,0.062766644,0.279506022,0.684041563,0.953170472,-1,0.989215257,0.976281638,0.931163743,0.886839974,0.830855394,0.81653554,0.861658316,0.893557603,0.842469669,-0.016953952,0.941101348,0.213637521,0.378039543,0.349763957,0.963855872,0.951515499,0.908811139,0.188655641,0.044139987,0.933536028,0.981161279,0.35621074,0.87432282,0.963121895,0.872162771,0.890053917,0.931178571,0.200100811,0.396348834,0.976290172,0.682134042,0.762147497,-0.267455223,0.319625423,0.323800118,0.961238473,0.156511745,0.247368231,-0.813163225,0.191211101,0.978192349,0.529607036,0.375597104,0.83274943,0.764915636,0.646075278,0.437959004,0.298147877,0.937046098,0.933208401,0.213258867,-0.031403374,0.008779273,0.336337457,0.396842575,0.554174994,0.720291074,0.918265346,0.900235277,0.887977656,0.873179607,-0.249139189,0.773655935,0.600240354,0.384160072,0.64273226,0.656622167,0.940618981,0.303190573,0.518163034,0.412820253,0.606024901,0.312559418,0.991910338,0.21501137,-2.035520515,0.657150027,0.122515214,0.650806759,0.670169968,0.522063196,0.983312577,-0.132149506,0.976840021,0.750898812,0.917768583,-0.543314399,0.951905277,0.189451879,0.970507341,-0.472257818,0.422066067,0.909989244,0.98382682,0.786493459,-0.05008148,0.778498765,0.992422392,0.95891199,0.977245423,0.972079468,0.912186992,0.84078139,0.888846843,0.456693576,0.908725719,0.014439617,-0.070187202,0.003855707,0.433100344,-0.473471793,0.986412568,0.816670767,0.870574007,-0.063116674,0.87678277,0.868940187,0.818126787,0.718393285,-1.255073426,-1.465769782,0.97269139,0.819075157,0.72131598,0.974424507,0.936681053
Jinx,0.574807862,0.260302849,0.98215749,0.768806699,0.772112896,-0.282164777,0.162350723,0.843195977,0.980901628,0.990739327,0.993361089,0.977483119,0.914135249,0.987635568,0.671027678,0.28479138,0.941952356,0.047796787,0.995473,0.752867678,0.82414741,0.822755144,0.690376361,0.373003545,0.567960751,0.647083176,0.951461705,-0.257822576,0.412673648,0.997524202,0.173897337,0.73918816,0.584585512,0.679484532,0.963152157,-0.098405277,0.920081571,0.548998377,0.924109287,0.84060339,0.874127295,0.634101921,0.709035264,0.12997444,0.686780794,-0.116072854,0.895096507,0.644860042,0.607051827,0.573807541,0.198339787,0.337874023,0.057741765,0.261358779,0.707471243,0.969229463,0.989215257,-1,0.992433533,0.938160497,0.896307231,0.778509325,0.795527857,0.842803439,0.899490417,0.795416513,-0.075466922,0.946502747,0.149945344,0.308643866,0.403650117,0.95752012,0.949621183,0.93327708,0.193830669,0.123548991,0.953727893,0.994090848,0.411438304,0.880515201,0.98468507,0.917464782,0.922994453,0.95022533,0.161336467,0.354487412,0.988242561,0.667401031,0.778600775,-0.419834445,0.397297059,0.396630753,0.982579374,0.061375201,0.209032605,-0.881398725,0.168052209,0.988958173,0.577203922,0.371985227,0.846680381,0.783656392,0.682954544,0.458872122,0.280008129,0.944453239,0.966705301,0.220097784,-0.02479785,-0.039966191,0.345282098,0.360356749,0.557754729,0.736386371,0.928152693,0.915602707,0.87109016,0.8618531,-0.224406986,0.67288394,0.492589741,0.392377069,0.682871276,0.647110954,0.961221451,0.376960247,0.569303286,0.382231591,0.629646904,0.375829899,0.999733977,0.075658789,-2.293409263,0.641507794,0.072310882,0.633252632,0.669438579,0.500147278,0.983743411,-0.100762677,0.944231321,0.711730127,0.940842718,-0.608171784,0.946976428,0.259108523,0.987266535,-0.539569724,0.415109867,0.920165295,0.992854347,0.771021496,-0.072201301,0.805027087,0.999275052,0.966348248,0.989873308,0.989281519,0.955427985,0.840190304,0.899953943,0.456843947,0.90409644,-0.139253025,-0.223194594,0.022308517,0.490023501,-0.538417118,0.999706248,0.815267716,0.878818028,-0.125198379,0.887522489,0.883378986,0.841695692,0.716051001,-1.517083024,-1.634738626,0.984472994,0.818757315,0.677359359,0.958128713,0.953064097
