Champion,Rune1,Rune2,Rune3,Rune4,Rune5,Rune6,Rune7,Rune8,Rune9,Rune10,Pick Rate,Win Rate
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Armor,26.70%,0.4782
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Magic Resist,9.48%,0.4973
Aatrox,Conqueror,Triumph,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Armor,5.42%,0.4828
Aatrox,Conqueror,Triumph,Legend: Alacrity,Last Stand,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Armor,3.76%,0.4851
Aatrox,Conqueror,Triumph,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Magic Resist,1.91%,0.5011
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,,Bone Plating,Revitalize,Adaptive Force,Adaptive Force,Armor,9.02%,0.4971
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,,Second Wind,Revitalize,Adaptive Force,Adaptive Force,Armor,2.42%,0.4995
Aatrox,Conqueror,Triumph,Legend: Alacrity,Last Stand,,Bone Plating,Revitalize,Adaptive Force,Adaptive Force,Armor,2.13%,0.5282
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,,Bone Plating,Revitalize,Adaptive Force,Adaptive Force,Magic Resist,1.22%,0.4884
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,,Second Wind,Revitalize,Adaptive Force,Adaptive Force,Magic Resist,1.18%,0.5242
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,Magical Footwear,,Cosmic Insight,Adaptive Force,Adaptive Force,Armor,0.69%,0.5112
Aatrox,Conqueror,Triumph,Legend: Alacrity,Last Stand,Magical Footwear,,Cosmic Insight,Adaptive Force,Adaptive Force,Armor,0.36%,0.5482
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,Magical Footwear,,Cosmic Insight,Adaptive Force,Adaptive Force,Magic Resist,0.29%,0.5639
Aatrox,Conqueror,Triumph,Legend: Alacrity,Last Stand,Magical Footwear,,Cosmic Insight,Adaptive Force,Adaptive Force,Magic Resist,0.18%,0.4048
Aatrox,Conqueror,Triumph,Legend: Tenacity,Last Stand,Magical Footwear,,Cosmic Insight,CDR,Adaptive Force,Armor,0.14%,0.5873
Aatrox,Electrocute,Taste of Blood,Eyeball Collection,Ravenous Hunter,,Second Wind,Revitalize,Adaptive Force,Adaptive Force,Armor,0.20%,0.5543
Aatrox,Electrocute,Taste of Blood,Eyeball Collection,Ravenous Hunter,,Second Wind,Revitalize,Adaptive Force,Adaptive Force,Magic Resist,0.14%,0.4839
Aatrox,Electrocute,Taste of Blood,Eyeball Collection,Ravenous Hunter,,Bone Plating,Revitalize,Adaptive Force,Adaptive Force,Armor,0.11%,0.5417
Aatrox,Electrocute,Taste of Blood,Eyeball Collection,Ravenous Hunter,,Bone Plating,Revitalize,Adaptive Force,Adaptive Force,Magic Resist,0.07%,0.5000
Aatrox,Electrocute,Taste of Blood,Ghost Poro,Ravenous Hunter,,Second Wind,Revitalize,Adaptive Force,Adaptive Force,Armor,0.05%,0.5200
Ahri,Glacial Augment,Magical Footwear,Minion Dematerializer,Cosmic Insight,Cheap Shot,,Ultimate Hunter,CDR,Adaptive Force,Magic Resist,11.85%,0.5208
Ahri,Glacial Augment,Magical Footwear,Minion Dematerializer,Cosmic Insight,Cheap Shot,,Ultimate Hunter,Adaptive Force,Adaptive Force,Magic Resist,7.08%,0.4927
Ahri,Glacial Augment,Magical Footwear,Minion Dematerializer,Cosmic Insight,Cheap Shot,,Ultimate Hunter,CDR,Adaptive Force,Armor,5.22%,0.5075
Ahri,Glacial Augment,Magical Footwear,Minion Dematerializer,Cosmic Insight,Cheap Shot,,Ultimate Hunter,Adaptive Force,Adaptive Force,Armor,3.20%,0.4783
Ahri,Glacial Augment,Magical Footwear,Biscuit Delivery,Cosmic Insight,Cheap Shot,,Ultimate Hunter,Adaptive Force,Adaptive Force,Magic Resist,1.74%,0.5261
Ahri,Electrocute,Sudden Impact,Eyeball Collection,Ultimate Hunter,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Magic Resist,3.27%,0.4735
Ahri,Electrocute,Sudden Impact,Eyeball Collection,Ultimate Hunter,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Armor,1.45%,0.4431
Ahri,Electrocute,Sudden Impact,Eyeball Collection,Ultimate Hunter,Nimbus Cloak,Celerity,,Adaptive Force,Adaptive Force,Magic Resist,0.94%,0.4931
Ahri,Electrocute,Cheap Shot,Eyeball Collection,Ultimate Hunter,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Magic Resist,0.65%,0.4733
Ahri,Electrocute,Taste of Blood,Eyeball Collection,Ultimate Hunter,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Magic Resist,0.51%,0.5214
Ahri,Electrocute,Cheap Shot,Eyeball Collection,Ultimate Hunter,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Magic Resist,0.47%,0.4537
Ahri,Electrocute,Sudden Impact,Eyeball Collection,Ultimate Hunter,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Magic Resist,0.36%,0.4337
Ahri,Electrocute,Taste of Blood,Eyeball Collection,Ultimate Hunter,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Magic Resist,0.22%,0.4800
Ahri,Electrocute,Sudden Impact,Eyeball Collection,Ultimate Hunter,Magical Footwear,Biscuit Delivery,,Adaptive Force,Adaptive Force,Magic Resist,0.19%,0.5111
Ahri,Electrocute,Cheap Shot,Eyeball Collection,Ultimate Hunter,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Armor,0.19%,0.6364
Ahri,Glacial Augment,Magical Footwear,Minion Dematerializer,Cosmic Insight,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Magic Resist,0.16%,0.7027
Ahri,Glacial Augment,Magical Footwear,Biscuit Delivery,Cosmic Insight,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Magic Resist,0.10%,0.7391
Ahri,Glacial Augment,Magical Footwear,Minion Dematerializer,Cosmic Insight,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Armor,0.08%,0.2105
Ahri,Glacial Augment,Magical Footwear,Minion Dematerializer,Cosmic Insight,Manaflow Band,Transcendence,,Attack Speed,Adaptive Force,Armor,0.06%,0.2857
Ahri,Glacial Augment,Perfect Timing,Biscuit Delivery,Cosmic Insight,Nullifying Orb,Transcendence,,CDR,Armor,Magic Resist,0.05%,0.6667
Akali,Conqueror,Presence of Mind,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Magic Resist,19.95%,0.4548
Akali,Conqueror,Presence of Mind,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Armor,15.69%,0.4433
Akali,Conqueror,Presence of Mind,Legend: Tenacity,Last Stand,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Magic Resist,1.48%,0.5449
Akali,Conqueror,Presence of Mind,Legend: Alacrity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Magic Resist,1.37%,0.4727
Akali,Conqueror,Presence of Mind,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ultimate Hunter,Adaptive Force,Adaptive Force,Magic Resist,1.36%,0.4695
Akali,Fleet Footwork,Presence of Mind,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Magic Resist,4.89%,0.4524
Akali,Fleet Footwork,Presence of Mind,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Armor,2.64%,0.4322
Akali,Fleet Footwork,Presence of Mind,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ultimate Hunter,Adaptive Force,Adaptive Force,Magic Resist,0.57%,0.4853
Akali,Fleet Footwork,Presence of Mind,Legend: Alacrity,Coup de Grace,Taste of Blood,,Ravenous Hunter,Adaptive Force,Adaptive Force,Magic Resist,0.34%,0.3902
Akali,Fleet Footwork,Presence of Mind,Legend: Tenacity,Coup de Grace,Taste of Blood,,Ultimate Hunter,Adaptive Force,Adaptive Force,Armor,0.33%,0.4750
Akali,Electrocute,Taste of Blood,Eyeball Collection,Ravenous Hunter,Presence of Mind,,Coup de Grace,Adaptive Force,Adaptive Force,Magic Resist,2.53%,0.4572
Akali,Electrocute,Taste of Blood,Eyeball Collection,Ravenous Hunter,Presence of Mind,,Coup de Grace,Adaptive Force,Adaptive Force,Armor,1.75%,0.3905
Akali,Electrocute,Sudden Impact,Eyeball Collection,Ravenous Hunter,Presence of Mind,,Coup de Grace,Adaptive Force,Adaptive Force,Armor,1.06%,0.4531
Akali,Electrocute,Sudden Impact,Eyeball Collection,Ravenous Hunter,Presence of Mind,,Coup de Grace,Adaptive Force,Adaptive Force,Magic Resist,1.04%,0.4720
Akali,Electrocute,Taste of Blood,Eyeball Collection,Ravenous Hunter,Presence of Mind,Legend: Tenacity,,Adaptive Force,Adaptive Force,Magic Resist,0.52%,0.4194
Akali,Conqueror,Presence of Mind,Legend: Tenacity,Coup de Grace,,Bone Plating,Overgrowth,Adaptive Force,Adaptive Force,Armor,1.30%,0.5321
Akali,Conqueror,Presence of Mind,Legend: Tenacity,Coup de Grace,,Bone Plating,Overgrowth,Adaptive Force,Adaptive Force,Magic Resist,0.83%,0.4300
Akali,Conqueror,Presence of Mind,Legend: Alacrity,Coup de Grace,,Bone Plating,Overgrowth,Adaptive Force,Adaptive Force,Armor,0.38%,0.5870
Akali,Conqueror,Presence of Mind,Legend: Tenacity,Coup de Grace,,Second Wind,Overgrowth,Adaptive Force,Adaptive Force,Magic Resist,0.38%,0.5435
Akali,Conqueror,Presence of Mind,Legend: Tenacity,Coup de Grace,,Bone Plating,Revitalize,Adaptive Force,Adaptive Force,Armor,0.27%,0.4063
Alistar,Aftershock,Demolish,Conditioning,Overgrowth,,Biscuit Delivery,Cosmic Insight,CDR,Armor,Health,12.68%,0.5037
Alistar,Aftershock,Demolish,Bone Plating,Overgrowth,,Biscuit Delivery,Cosmic Insight,CDR,Armor,Health,3.25%,0.4894
Alistar,Aftershock,Font of Life,Bone Plating,Overgrowth,,Biscuit Delivery,Cosmic Insight,CDR,Armor,Health,1.43%,0.5310
Alistar,Aftershock,Demolish,Conditioning,Overgrowth,Hextech Flashtraption,,Cosmic Insight,CDR,Armor,Health,1.38%,0.4803
Alistar,Aftershock,Demolish,Conditioning,Overgrowth,Perfect Timing,,Cosmic Insight,CDR,Armor,Health,0.93%,0.4628
Alistar,Aftershock,Demolish,Bone Plating,Unflinching,Cheap Shot,,Relentless Hunter,CDR,Magic Resist,Armor,0.65%,0.4697
Alistar,Aftershock,Font of Life,Second Wind,Revitalize,Sudden Impact,,Relentless Hunter,CDR,Armor,Magic Resist,0.50%,0.5196
Alistar,Aftershock,Demolish,Bone Plating,Unflinching,Cheap Shot,,Relentless Hunter,CDR,Armor,Magic Resist,0.30%,0.5333
Alistar,Aftershock,Demolish,Bone Plating,Unflinching,Cheap Shot,,Relentless Hunter,CDR,Armor,Armor,0.17%,0.4412
Alistar,Aftershock,Font of Life,Bone Plating,Overgrowth,Cheap Shot,,Relentless Hunter,CDR,Armor,Health,0.16%,0.4242
Alistar,Aftershock,Demolish,Conditioning,Overgrowth,Triumph,Legend: Tenacity,,CDR,Armor,Health,0.15%,0.5161
Alistar,Aftershock,Font of Life,Bone Plating,Revitalize,Triumph,Legend: Tenacity,,CDR,Armor,Health,0.11%,0.4091
Alistar,Aftershock,Font of Life,Bone Plating,Overgrowth,Triumph,Legend: Tenacity,,CDR,Armor,Armor,0.10%,0.6667
Alistar,Aftershock,Demolish,Bone Plating,Overgrowth,Triumph,Legend: Tenacity,,CDR,Armor,Armor,0.10%,0.5238
Alistar,Aftershock,Demolish,Bone Plating,Overgrowth,Triumph,Legend: Tenacity,,CDR,Armor,Health,0.09%,0.5556
Alistar,Guardian,Font of Life,Bone Plating,Overgrowth,,Biscuit Delivery,Cosmic Insight,CDR,Armor,Health,0.14%,0.6071
Alistar,Guardian,Font of Life,Second Wind,Overgrowth,Magical Footwear,,Cosmic Insight,CDR,Armor,Magic Resist,0.08%,0.3750
Alistar,Guardian,Demolish,Conditioning,Overgrowth,,Biscuit Delivery,Cosmic Insight,CDR,Armor,Health,0.08%,0.1875
Alistar,Guardian,Font of Life,Conditioning,Overgrowth,,Biscuit Delivery,Cosmic Insight,CDR,Armor,Health,0.03%,1.0000
Alistar,Guardian,Shield Bash,Conditioning,Overgrowth,,Biscuit Delivery,Cosmic Insight,Adaptive Force,Armor,Health,0.03%,0.5000
Amumu,Aftershock,Font of Life,Conditioning,Overgrowth,Cheap Shot,,Ultimate Hunter,Attack Speed,Adaptive Force,Armor,10.95%,0.4961
Amumu,Aftershock,Font of Life,Bone Plating,Overgrowth,Cheap Shot,,Ultimate Hunter,Attack Speed,Adaptive Force,Armor,2.02%,0.5090
Amumu,Aftershock,Font of Life,Conditioning,Overgrowth,Cheap Shot,,Ultimate Hunter,Adaptive Force,Adaptive Force,Armor,1.15%,0.4211
Amumu,Aftershock,Font of Life,Conditioning,Overgrowth,Cheap Shot,,Ultimate Hunter,Attack Speed,Adaptive Force,Magic Resist,0.96%,0.5823
Amumu,Aftershock,Font of Life,Conditioning,Unflinching,Cheap Shot,,Ultimate Hunter,Attack Speed,Adaptive Force,Armor,0.44%,0.6111
Amumu,Electrocute,Cheap Shot,Eyeball Collection,Ultimate Hunter,Nimbus Cloak,,Waterwalking,Attack Speed,Adaptive Force,Armor,2.86%,0.5000
Amumu,Electrocute,Cheap Shot,Eyeball Collection,Ravenous Hunter,Nimbus Cloak,,Waterwalking,Attack Speed,Adaptive Force,Armor,2.75%,0.4890
Amumu,Electrocute,Sudden Impact,Eyeball Collection,Ultimate Hunter,Nimbus Cloak,,Gathering Storm,Adaptive Force,Adaptive Force,Armor,0.64%,0.6792
Amumu,Electrocute,Sudden Impact,Eyeball Collection,Ultimate Hunter,,Absolute Focus,Waterwalking,Adaptive Force,Adaptive Force,Armor,0.62%,0.4902
Amumu,Electrocute,Cheap Shot,Eyeball Collection,Ravenous Hunter,Nimbus Cloak,,Scorch,Attack Speed,Adaptive Force,Armor,0.47%,0.5128
Amumu,Aftershock,Font of Life,Conditioning,Overgrowth,Triumph,Legend: Alacrity,,Attack Speed,Adaptive Force,Armor,0.91%,0.5200
Amumu,Aftershock,Font of Life,Conditioning,Overgrowth,Triumph,,Coup de Grace,Attack Speed,Adaptive Force,Armor,0.68%,0.5179
Amumu,Aftershock,Font of Life,Bone Plating,Unflinching,Triumph,,Last Stand,CDR,Armor,Armor,0.68%,0.5179
Amumu,Aftershock,Font of Life,Second Wind,Overgrowth,Triumph,Legend: Alacrity,,Attack Speed,Adaptive Force,Armor,0.57%,0.3617
Amumu,Aftershock,Font of Life,Conditioning,Overgrowth,Triumph,Legend: Alacrity,,Attack Speed,Adaptive Force,Health,0.46%,0.5526
Amumu,Electrocute,Cheap Shot,Eyeball Collection,Ravenous Hunter,Triumph,,Coup de Grace,Adaptive Force,Adaptive Force,Armor,0.64%,0.6604
Amumu,Electrocute,Taste of Blood,Eyeball Collection,Relentless Hunter,Triumph,,Last Stand,CDR,Magic Resist,Armor,0.48%,0.4250
Amumu,Electrocute,Cheap Shot,Eyeball Collection,Ultimate Hunter,Triumph,,Coup de Grace,Attack Speed,Adaptive Force,Armor,0.42%,0.5429
Amumu,Electrocute,Sudden Impact,Zombie Ward,Ultimate Hunter,Triumph,,Coup de Grace,Attack Speed,Armor,Magic Resist,0.30%,0.4800
Amumu,Electrocute,Cheap Shot,Eyeball Collection,Ultimate Hunter,Triumph,,Coup de Grace,Adaptive Force,Adaptive Force,Armor,0.28%,0.4783
Anivia,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,Presence of Mind,,Coup de Grace,Adaptive Force,Adaptive Force,Magic Resist,14.41%,0.5020
Anivia,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,Presence of Mind,,Coup de Grace,Adaptive Force,Adaptive Force,Armor,6.54%,0.5332
Anivia,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,Presence of Mind,Legend: Tenacity,,Adaptive Force,Adaptive Force,Magic Resist,2.89%,0.4873
Anivia,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,Presence of Mind,Legend: Tenacity,,Attack Speed,Adaptive Force,Magic Resist,1.95%,0.5294
Anivia,Electrocute,Cheap Shot,Eyeball Collection,Ravenous Hunter,Presence of Mind,,Coup de Grace,Adaptive Force,Adaptive Force,Magic Resist,1.91%,0.5256
Anivia,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,Manaflow Band,,Scorch,Adaptive Force,Adaptive Force,Magic Resist,1.39%,0.5824
Anivia,Electrocute,Cheap Shot,Ghost Poro,Relentless Hunter,Manaflow Band,,Scorch,Adaptive Force,Adaptive Force,Magic Resist,0.97%,0.5000
Anivia,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,Manaflow Band,,Scorch,Adaptive Force,Adaptive Force,Armor,0.61%,0.4267
Anivia,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,Manaflow Band,,Scorch,Adaptive Force,Adaptive Force,Health,0.57%,0.4429
Anivia,Electrocute,Cheap Shot,Eyeball Collection,Ravenous Hunter,Manaflow Band,Transcendence,,Adaptive Force,Adaptive Force,Magic Resist,0.30%,0.6216
Anivia,Arcane Comet,Manaflow Band,Transcendence,Scorch,Presence of Mind,,Coup de Grace,Adaptive Force,Adaptive Force,Magic Resist,0.89%,0.5413
Anivia,Arcane Comet,Manaflow Band,Transcendence,Gathering Storm,Presence of Mind,,Coup de Grace,Adaptive Force,Adaptive Force,Magic Resist,0.51%,0.6129
Anivia,Arcane Comet,Manaflow Band,Transcendence,Gathering Storm,Presence of Mind,,Coup de Grace,Adaptive Force,Adaptive Force,Armor,0.34%,0.5610
Anivia,Arcane Comet,Manaflow Band,Transcendence,Scorch,Presence of Mind,,Coup de Grace,Adaptive Force,Adaptive Force,Armor,0.33%,0.3500
Anivia,Arcane Comet,Manaflow Band,Celerity,Scorch,Presence of Mind,,Coup de Grace,Adaptive Force,Adaptive Force,Magic Resist,0.26%,0.4063
Anivia,Electrocute,Cheap Shot,Ghost Poro,Relentless Hunter,,Biscuit Delivery,Time Warp Tonic,Attack Speed,Adaptive Force,Magic Resist,1.13%,0.4420
Anivia,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,,Biscuit Delivery,Time Warp Tonic,Attack Speed,Adaptive Force,Magic Resist,0.56%,0.5362
Anivia,Electrocute,Cheap Shot,Ghost Poro,Relentless Hunter,,Biscuit Delivery,Time Warp Tonic,Attack Speed,Adaptive Force,Armor,0.52%,0.5625
Anivia,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Magic Resist,0.42%,0.6471
Anivia,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,Magical Footwear,Biscuit Delivery,,Attack Speed,Adaptive Force,Magic Resist,0.25%,0.5000
Annie,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,,Celerity,Scorch,Adaptive Force,Adaptive Force,Magic Resist,5.14%,0.4672
Annie,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,Manaflow Band,,Gathering Storm,Adaptive Force,Adaptive Force,Magic Resist,3.08%,0.5244
Annie,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,,Celerity,Scorch,Adaptive Force,Adaptive Force,Armor,2.55%,0.4853
Annie,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,Manaflow Band,,Gathering Storm,Adaptive Force,Adaptive Force,Armor,2.14%,0.5614
Annie,Electrocute,Cheap Shot,Eyeball Collection,Ravenous Hunter,Manaflow Band,,Scorch,Adaptive Force,Adaptive Force,Health,2.10%,0.4464
Annie,Predator,Taste of Blood,Eyeball Collection,Relentless Hunter,,Absolute Focus,Gathering Storm,Adaptive Force,Adaptive Force,Magic Resist,1.58%,0.6429
Annie,Predator,Cheap Shot,Eyeball Collection,Relentless Hunter,,Celerity,Waterwalking,Adaptive Force,Armor,Armor,0.71%,0.5789
Annie,Predator,Taste of Blood,Eyeball Collection,Relentless Hunter,,Absolute Focus,Gathering Storm,Adaptive Force,Adaptive Force,Armor,0.60%,0.8125
Annie,Predator,Cheap Shot,Eyeball Collection,Ingenious Hunter,Manaflow Band,Celerity,,Adaptive Force,Adaptive Force,Magic Resist,0.56%,0.6000
Annie,Predator,Cheap Shot,Eyeball Collection,Relentless Hunter,,Celerity,Gathering Storm,Adaptive Force,Adaptive Force,Magic Resist,0.49%,0.6154
Annie,Electrocute,Cheap Shot,Eyeball Collection,Ravenous Hunter,Perfect Timing,,Cosmic Insight,Adaptive Force,Adaptive Force,Health,0.71%,0.5789
Annie,Electrocute,Cheap Shot,Eyeball Collection,Relentless Hunter,,Biscuit Delivery,Time Warp Tonic,Adaptive Force,Adaptive Force,Magic Resist,0.30%,0.5000
Annie,Electrocute,Cheap Shot,Eyeball Collection,Ultimate Hunter,Perfect Timing,,Cosmic Insight,Adaptive Force,Adaptive Force,Magic Resist,0.26%,0.2857
Annie,Electrocute,Taste of Blood,Eyeball Collection,Ultimate Hunter,Magical Footwear,Futures Market,,CDR,Adaptive Force,Armor,0.23%,0.6667
Annie,Electrocute,Cheap Shot,Eyeball Collection,Ultimate Hunter,Perfect Timing,,Cosmic Insight,Adaptive Force,Adaptive Force,Armor,0.15%,1.0000
Annie,Predator,Cheap Shot,Zombie Ward,Ultimate Hunter,Perfect Timing,,Cosmic Insight,CDR,Adaptive Force,Health,1.76%,0.4043
Annie,Predator,Taste of Blood,Eyeball Collection,Relentless Hunter,Hextech Flashtraption,,Cosmic Insight,CDR,Adaptive Force,Health,1.01%,0.5926
Annie,Predator,Cheap Shot,Eyeball Collection,Ultimate Hunter,Perfect Timing,,Cosmic Insight,Adaptive Force,Adaptive Force,Magic Resist,0.41%,0.6364
Annie,Predator,Cheap Shot,Eyeball Collection,Ultimate Hunter,,Futures Market,Time Warp Tonic,Adaptive Force,Adaptive Force,Health,0.15%,0.2500
Annie,Predator,Taste of Blood,Ghost Poro,Ingenious Hunter,,Biscuit Delivery,Time Warp Tonic,CDR,Magic Resist,Armor,0.08%,0.5000
Aphelios,Conqueror,Overheal,Legend: Bloodline,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,29.66%,0.4784
Aphelios,Conqueror,Overheal,Legend: Bloodline,Cut Down,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,11.90%,0.5021
Aphelios,Conqueror,Presence of Mind,Legend: Bloodline,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,10.25%,0.5022
Aphelios,Conqueror,Presence of Mind,Legend: Bloodline,Cut Down,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,9.44%,0.5266
Aphelios,Conqueror,Overheal,Legend: Bloodline,Coup de Grace,Nimbus Cloak,Absolute Focus,,Attack Speed,Adaptive Force,Armor,3.86%,0.4908
Aphelios,Press the Attack,Overheal,Legend: Bloodline,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,5.48%,0.4653
Aphelios,Press the Attack,Overheal,Legend: Bloodline,Cut Down,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,1.10%,0.4722
Aphelios,Press the Attack,Triumph,Legend: Bloodline,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,0.78%,0.4569
Aphelios,Press the Attack,Overheal,Legend: Bloodline,Coup de Grace,Nimbus Cloak,Absolute Focus,,Attack Speed,Adaptive Force,Armor,0.64%,0.4730
Aphelios,Press the Attack,Presence of Mind,Legend: Bloodline,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,0.50%,0.4776
Aphelios,Lethal Tempo,Overheal,Legend: Bloodline,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,2.14%,0.4626
Aphelios,Lethal Tempo,Overheal,Legend: Bloodline,Cut Down,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,0.46%,0.4779
Aphelios,Lethal Tempo,Triumph,Legend: Bloodline,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,0.44%,0.4338
Aphelios,Lethal Tempo,Overheal,Legend: Bloodline,Coup de Grace,Nimbus Cloak,Absolute Focus,,Attack Speed,Adaptive Force,Armor,0.40%,0.5556
Aphelios,Lethal Tempo,Presence of Mind,Legend: Bloodline,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,0.29%,0.4069
Aphelios,Conqueror,Overheal,Legend: Bloodline,Coup de Grace,Magical Footwear,Biscuit Delivery,,Attack Speed,Adaptive Force,Armor,0.44%,0.5535
Aphelios,Conqueror,Triumph,Legend: Bloodline,Coup de Grace,Magical Footwear,Biscuit Delivery,,Attack Speed,Adaptive Force,Armor,0.12%,0.4035
Aphelios,Conqueror,Presence of Mind,Legend: Bloodline,Coup de Grace,Magical Footwear,Biscuit Delivery,,Attack Speed,Adaptive Force,Armor,0.08%,0.5946
Aphelios,Conqueror,Overheal,Legend: Bloodline,Cut Down,Magical Footwear,Biscuit Delivery,,Attack Speed,Adaptive Force,Armor,0.06%,0.4063
Aphelios,Conqueror,Triumph,Legend: Alacrity,Coup de Grace,Magical Footwear,Biscuit Delivery,,Attack Speed,Adaptive Force,Armor,0.05%,0.5926
Ashe,Conqueror,Overheal,Legend: Bloodline,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,0.01%,0.3333
Ashe,Conqueror,Presence of Mind,Legend: Alacrity,Coup de Grace,Manaflow Band,Transcendence,,Attack Speed,Adaptive Force,Armor,0.01%,0.6667
Ashe,Conqueror,Presence of Mind,Legend: Alacrity,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,0.01%,0.0000
Ashe,Conqueror,Presence of Mind,Legend: Bloodline,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,0.00%,0.0000
Ashe,Conqueror,Triumph,Legend: Alacrity,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,0.00%,0.5000
Ashe,Press the Attack,Triumph,Legend: Alacrity,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,0.06%,0.4800
Ashe,Press the Attack,Overheal,Legend: Bloodline,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,0.04%,0.3529
Ashe,Press the Attack,Presence of Mind,Legend: Alacrity,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,0.04%,0.6000
Ashe,Press the Attack,Triumph,Legend: Bloodline,Coup de Grace,Nimbus Cloak,,Gathering Storm,Attack Speed,Adaptive Force,Armor,0.03%,0.4545
