WhoAmI,,Position,,Against,WinRate
Camille,",",Top,"Camille,Top",Kled,52.73
Camille,",",Top,"Camille,Top",Sylas,53.19
Camille,",",Top,"Camille,Top",Rengar,48.50
Camille,",",Top,"Camille,Top",Illaoi,45.73
Camille,",",Top,"Camille,Top",Soraka,49.75
Camille,",",Top,"Camille,Top",Gangplank,51.27
Camille,",",Top,"Camille,Top",Shen,53.85
Camille,",",Top,"Camille,Top",Riven,46.63
Camille,",",Top,"Camille,Top",Teemo,49.74
Camille,",",Top,"Camille,Top",Lucian,50.81
Camille,",",Top,"Camille,Top",Yasuo,57.46
Camille,",",Top,"Camille,Top",Kayle,49.43
Camille,",",Top,"Camille,Top",Rumble,49.70
Camille,",",Top,"Camille,Top",Quinn,53.89
Camille,",",Top,"Camille,Top",Kennen,53.99
Camille,",",Top,"Camille,Top",Pantheon,43.23
Camille,",",Top,"Camille,Top",Singed,44.93
Camille,",",Top,"Camille,Top",Ryze,61.31
Camille,",",Top,"Camille,Top",Volibear,48.82
Camille,",",Top,"Camille,Top",Tryndamere,47.58
Camille,",",Top,"Camille,Top",Nasus,51.85
Camille,",",Top,"Camille,Top",Maokai,43.69
Camille,",",Top,"Camille,Top",Vayne,54.46
Camille,",",Top,"Camille,Top",Dr. Mundo,47.00
Camille,",",Top,"Camille,Top",Zac,44.83
Camille,",",Top,"Camille,Top",Jayce,44.44
Camille,",",Top,"Camille,Top",Yorick,53.85
Camille,",",Top,"Camille,Top",Gnar,56.72
Camille,",",Top,"Camille,Top",Olaf,57.14
Camille,",",Top,"Camille,Top",Hecarim,49.06
Cassiopeia,",",Top,"Cassiopeia,Top",Sett,50.93
Cassiopeia,",",Top,"Cassiopeia,Top",Mordekaiser,60.99
Cassiopeia,",",Top,"Cassiopeia,Top",Ornn,46.02
Cassiopeia,",",Top,"Cassiopeia,Top",Darius,46.39
Cassiopeia,",",Top,"Cassiopeia,Top",Vladimir,53.85
Cassiopeia,",",Top,"Cassiopeia,Top",Fiora,42.31
Cassiopeia,",",Top,"Cassiopeia,Top",Aatrox,46.15
Cassiopeia,",",Top,"Cassiopeia,Top",Teemo,67.14
Cassiopeia,",",Top,"Cassiopeia,Top",Irelia,54.84
Cassiopeia,",",Top,"Cassiopeia,Top",Garen,50.82
Cassiopeia,",",Top,"Cassiopeia,Top",Renekton,40.74
Cassiopeia,",",Top,"Cassiopeia,Top",Akali,60.78
Cho'Gath,",",Top,"Cho'Gath,Top",Sett,41.70
Cho'Gath,",",Top,"Cho'Gath,Top",Ornn,41.54
Cho'Gath,",",Top,"Cho'Gath,Top",Aatrox,54.36
Cho'Gath,",",Top,"Cho'Gath,Top",Mordekaiser,49.32
Cho'Gath,",",Top,"Cho'Gath,Top",Fiora,48.91
Cho'Gath,",",Top,"Cho'Gath,Top",Darius,42.86
Cho'Gath,",",Top,"Cho'Gath,Top",Garen,46.02
Cho'Gath,",",Top,"Cho'Gath,Top",Renekton,55.56
Cho'Gath,",",Top,"Cho'Gath,Top",Teemo,55.10
Cho'Gath,",",Top,"Cho'Gath,Top",Vladimir,51.55
Cho'Gath,",",Top,"Cho'Gath,Top",Jax,47.06
Cho'Gath,",",Top,"Cho'Gath,Top",Malphite,56.25
Cho'Gath,",",Top,"Cho'Gath,Top",Akali,57.69
Cho'Gath,",",Top,"Cho'Gath,Top",Irelia,52.63
Cho'Gath,",",Top,"Cho'Gath,Top",Illaoi,44.62
Cho'Gath,",",Top,"Cho'Gath,Top",Rengar,52.38
Cho'Gath,",",Top,"Cho'Gath,Top",Kled,50.82
Cho'Gath,",",Top,"Cho'Gath,Top",Rumble,62.07
Cho'Gath,",",Top,"Cho'Gath,Top",Yasuo,69.64
Cho'Gath,",",Top,"Cho'Gath,Top",Poppy,39.62
Cho'Gath,",",Top,"Cho'Gath,Top",Shen,42.00
Darius,",",Top,"Darius,Top",Sett,46.90
Darius,",",Top,"Darius,Top",Ornn,45.06
Darius,",",Top,"Darius,Top",Mordekaiser,53.05
Darius,",",Top,"Darius,Top",Renekton,50.03
Darius,",",Top,"Darius,Top",Fiora,51.90
Darius,",",Top,"Darius,Top",Aatrox,54.07
Darius,",",Top,"Darius,Top",Garen,51.79
Darius,",",Top,"Darius,Top",Vladimir,50.97
Darius,",",Top,"Darius,Top",Irelia,51.67
Darius,",",Top,"Darius,Top",Akali,50.48
Darius,",",Top,"Darius,Top",Illaoi,47.05
Darius,",",Top,"Darius,Top",Malphite,49.93
Darius,",",Top,"Darius,Top",Jax,51.66
Darius,",",Top,"Darius,Top",Kled,49.49
Darius,",",Top,"Darius,Top",Teemo,46.56
Darius,",",Top,"Darius,Top",Vayne,45.75
Darius,",",Top,"Darius,Top",Quinn,48.27
Darius,",",Top,"Darius,Top",Shen,49.27
Darius,",",Top,"Darius,Top",Kennen,47.25
Darius,",",Top,"Darius,Top",Riven,50.59
Darius,",",Top,"Darius,Top",Poppy,53.53
Darius,",",Top,"Darius,Top",Camille,54.21
Darius,",",Top,"Darius,Top",Yasuo,56.36
Darius,",",Top,"Darius,Top",Gangplank,48.98
Darius,",",Top,"Darius,Top",Kayle,50.72
Darius,",",Top,"Darius,Top",Lucian,51.48
Darius,",",Top,"Darius,Top",Soraka,45.75
Darius,",",Top,"Darius,Top",Sylas,55.32
Darius,",",Top,"Darius,Top",Rumble,48.12
Darius,",",Top,"Darius,Top",Yorick,44.96
Darius,",",Top,"Darius,Top",Ryze,55.26
Darius,",",Top,"Darius,Top",Pantheon,47.81
Darius,",",Top,"Darius,Top",Dr. Mundo,50.00
Darius,",",Top,"Darius,Top",Volibear,50.17
Darius,",",Top,"Darius,Top",Olaf,48.25
Darius,",",Top,"Darius,Top",Rengar,51.09
Darius,",",Top,"Darius,Top",Singed,48.00
Darius,",",Top,"Darius,Top",Tryndamere,53.85
Darius,",",Top,"Darius,Top",Nasus,50.22
Darius,",",Top,"Darius,Top",Gnar,49.52
Darius,",",Top,"Darius,Top",Maokai,46.89
Darius,",",Top,"Darius,Top",Heimerdinger,44.93
Darius,",",Top,"Darius,Top",Jayce,49.21
Darius,",",Top,"Darius,Top",Zac,47.95
Darius,",",Top,"Darius,Top",Urgot,50.32
Darius,",",Top,"Darius,Top",Cho'Gath,57.14
Darius,",",Top,"Darius,Top",Nocturne,48.67
Darius,",",Top,"Darius,Top",Sion,53.47
Darius,",",Top,"Darius,Top",Cassiopeia,53.61
Darius,",",Top,"Darius,Top",Hecarim,52.70
Diana,",",Top,"Diana,Top",Sett,42.00
Diana,",",Top,"Diana,Top",Vladimir,49.33
Diana,",",Top,"Diana,Top",Mordekaiser,59.15
Diana,",",Top,"Diana,Top",Ornn,47.06
Diana,",",Top,"Diana,Top",Akali,45.45
Diana,",",Top,"Diana,Top",Renekton,45.31
Diana,",",Top,"Diana,Top",Fiora,42.37
Diana,",",Top,"Diana,Top",Aatrox,46.43
Diana,",",Top,"Diana,Top",Darius,57.69
Dr. Mundo,",",Top,"Dr. Mundo,Top",Sett,46.75
Dr. Mundo,",",Top,"Dr. Mundo,Top",Ornn,51.27
Dr. Mundo,",",Top,"Dr. Mundo,Top",Mordekaiser,51.69
Dr. Mundo,",",Top,"Dr. Mundo,Top",Darius,50.00
Dr. Mundo,",",Top,"Dr. Mundo,Top",Garen,50.60
Dr. Mundo,",",Top,"Dr. Mundo,Top",Aatrox,53.25
Dr. Mundo,",",Top,"Dr. Mundo,Top",Teemo,52.72
Dr. Mundo,",",Top,"Dr. Mundo,Top",Vladimir,50.85
Dr. Mundo,",",Top,"Dr. Mundo,Top",Renekton,47.41
Dr. Mundo,",",Top,"Dr. Mundo,Top",Fiora,48.56
Dr. Mundo,",",Top,"Dr. Mundo,Top",Akali,59.28
Dr. Mundo,",",Top,"Dr. Mundo,Top",Malphite,45.14
Dr. Mundo,",",Top,"Dr. Mundo,Top",Irelia,52.14
Dr. Mundo,",",Top,"Dr. Mundo,Top",Jax,52.03
Dr. Mundo,",",Top,"Dr. Mundo,Top",Shen,51.67
Dr. Mundo,",",Top,"Dr. Mundo,Top",Illaoi,40.71
Dr. Mundo,",",Top,"Dr. Mundo,Top",Vayne,43.52
Dr. Mundo,",",Top,"Dr. Mundo,Top",Kennen,53.33
Dr. Mundo,",",Top,"Dr. Mundo,Top",Yasuo,50.49
Dr. Mundo,",",Top,"Dr. Mundo,Top",Kled,51.46
Dr. Mundo,",",Top,"Dr. Mundo,Top",Camille,53.00
Dr. Mundo,",",Top,"Dr. Mundo,Top",Riven,52.75
Dr. Mundo,",",Top,"Dr. Mundo,Top",Lucian,60.23
Dr. Mundo,",",Top,"Dr. Mundo,Top",Soraka,53.41
Dr. Mundo,",",Top,"Dr. Mundo,Top",Quinn,53.49
Dr. Mundo,",",Top,"Dr. Mundo,Top",Rengar,49.38
Dr. Mundo,",",Top,"Dr. Mundo,Top",Poppy,53.75
Dr. Mundo,",",Top,"Dr. Mundo,Top",Gangplank,52.56
Dr. Mundo,",",Top,"Dr. Mundo,Top",Nasus,46.67
Dr. Mundo,",",Top,"Dr. Mundo,Top",Rumble,49.32
Dr. Mundo,",",Top,"Dr. Mundo,Top",Ryze,53.42
Dr. Mundo,",",Top,"Dr. Mundo,Top",Kayle,52.86
Dr. Mundo,",",Top,"Dr. Mundo,Top",Sylas,54.84
Dr. Mundo,",",Top,"Dr. Mundo,Top",Singed,56.36
Ekko,",",Top,"Ekko,Top",Sett,53.97
Ezreal,",",Top,"Ezreal,Top",Sett,33.33
Fiora,",",Top,"Fiora,Top",Sett,45.42
Fiora,",",Top,"Fiora,Top",Ornn,50.31
Fiora,",",Top,"Fiora,Top",Mordekaiser,53.83
Fiora,",",Top,"Fiora,Top",Aatrox,51.96
Fiora,",",Top,"Fiora,Top",Darius,48.10
Fiora,",",Top,"Fiora,Top",Renekton,50.31
Fiora,",",Top,"Fiora,Top",Garen,48.02
Fiora,",",Top,"Fiora,Top",Irelia,54.37
Fiora,",",Top,"Fiora,Top",Vladimir,46.59
Fiora,",",Top,"Fiora,Top",Malphite,46.21
Fiora,",",Top,"Fiora,Top",Akali,47.62
Fiora,",",Top,"Fiora,Top",Jax,48.23
Fiora,",",Top,"Fiora,Top",Camille,50.38
Fiora,",",Top,"Fiora,Top",Kled,51.35
Fiora,",",Top,"Fiora,Top",Illaoi,53.38
Fiora,",",Top,"Fiora,Top",Shen,48.00
Fiora,",",Top,"Fiora,Top",Poppy,42.75
Fiora,",",Top,"Fiora,Top",Teemo,49.41
Fiora,",",Top,"Fiora,Top",Riven,46.67
Fiora,",",Top,"Fiora,Top",Sylas,51.98
Fiora,",",Top,"Fiora,Top",Yasuo,58.55
Fiora,",",Top,"Fiora,Top",Rengar,45.45
Fiora,",",Top,"Fiora,Top",Gangplank,44.94
Fiora,",",Top,"Fiora,Top",Quinn,41.69
Fiora,",",Top,"Fiora,Top",Lucian,49.76
Fiora,",",Top,"Fiora,Top",Soraka,45.74
Fiora,",",Top,"Fiora,Top",Kayle,46.59
Fiora,",",Top,"Fiora,Top",Pantheon,48.07
Fiora,",",Top,"Fiora,Top",Kennen,49.06
Fiora,",",Top,"Fiora,Top",Singed,49.69
Fiora,",",Top,"Fiora,Top",Rumble,49.52
Fiora,",",Top,"Fiora,Top",Ryze,52.23
Fiora,",",Top,"Fiora,Top",Vayne,53.00
Fiora,",",Top,"Fiora,Top",Tryndamere,51.81
Fiora,",",Top,"Fiora,Top",Yorick,45.49
Fiora,",",Top,"Fiora,Top",Nasus,46.67
Fiora,",",Top,"Fiora,Top",Jayce,43.83
Fiora,",",Top,"Fiora,Top",Dr. Mundo,51.44
Fiora,",",Top,"Fiora,Top",Volibear,45.41
Fiora,",",Top,"Fiora,Top",Olaf,47.98
Fiora,",",Top,"Fiora,Top",Maokai,54.01
Fiora,",",Top,"Fiora,Top",Zac,54.89
Fiora,",",Top,"Fiora,Top",Gnar,56.33
Fiora,",",Top,"Fiora,Top",Cho'Gath,51.09
Fiora,",",Top,"Fiora,Top",Heimerdinger,48.03
Fiora,",",Top,"Fiora,Top",Urgot,53.23
Fiora,",",Top,"Fiora,Top",Sion,52.17
Fiora,",",Top,"Fiora,Top",Hecarim,40.35
Fiora,",",Top,"Fiora,Top",Nocturne,51.65
Fiora,",",Top,"Fiora,Top",Cassiopeia,57.69
Fizz,",",Top,"Fizz,Top",Vladimir,43.14
Fizz,",",Top,"Fizz,Top",Sett,45.10
Gangplank,",",Top,"Gangplank,Top",Sett,46.07
Gangplank,",",Top,"Gangplank,Top",Ornn,49.61
Gangplank,",",Top,"Gangplank,Top",Mordekaiser,50.08
Gangplank,",",Top,"Gangplank,Top",Darius,51.02
Gangplank,",",Top,"Gangplank,Top",Fiora,55.06
Gangplank,",",Top,"Gangplank,Top",Renekton,49.03
Gangplank,",",Top,"Gangplank,Top",Aatrox,53.43
Gangplank,",",Top,"Gangplank,Top",Vladimir,47.55
Gangplank,",",Top,"Gangplank,Top",Akali,55.76
Gangplank,",",Top,"Gangplank,Top",Irelia,52.65
Gangplank,",",Top,"Gangplank,Top",Garen,46.79
Gangplank,",",Top,"Gangplank,Top",Malphite,48.16
Gangplank,",",Top,"Gangplank,Top",Jax,50.83
Gangplank,",",Top,"Gangplank,Top",Lucian,53.00
Gangplank,",",Top,"Gangplank,Top",Camille,48.73
Gangplank,",",Top,"Gangplank,Top",Kled,50.00
Gangplank,",",Top,"Gangplank,Top",Shen,52.66
Gangplank,",",Top,"Gangplank,Top",Poppy,48.30
Gangplank,",",Top,"Gangplank,Top",Sylas,54.00
Gangplank,",",Top,"Gangplank,Top",Teemo,51.37
Gangplank,",",Top,"Gangplank,Top",Riven,46.81
Gangplank,",",Top,"Gangplank,Top",Rengar,50.00
Gangplank,",",Top,"Gangplank,Top",Yasuo,46.32
Gangplank,",",Top,"Gangplank,Top",Ryze,51.15
Gangplank,",",Top,"Gangplank,Top",Quinn,53.85
Gangplank,",",Top,"Gangplank,Top",Rumble,51.97
Gangplank,",",Top,"Gangplank,Top",Illaoi,55.65
Gangplank,",",Top,"Gangplank,Top",Pantheon,57.02
Gangplank,",",Top,"Gangplank,Top",Soraka,38.84
Gangplank,",",Top,"Gangplank,Top",Kennen,48.74
Gangplank,",",Top,"Gangplank,Top",Kayle,41.28
Gangplank,",",Top,"Gangplank,Top",Singed,48.62
Gangplank,",",Top,"Gangplank,Top",Yorick,41.49
Gangplank,",",Top,"Gangplank,Top",Tryndamere,55.06
Gangplank,",",Top,"Gangplank,Top",Dr. Mundo,47.44
Gangplank,",",Top,"Gangplank,Top",Nasus,48.65
Gangplank,",",Top,"Gangplank,Top",Volibear,55.56
Gangplank,",",Top,"Gangplank,Top",Jayce,47.89
Gangplank,",",Top,"Gangplank,Top",Maokai,43.55
Gangplank,",",Top,"Gangplank,Top",Vayne,46.67
Gangplank,",",Top,"Gangplank,Top",Olaf,44.83
Gangplank,",",Top,"Gangplank,Top",Zac,49.12
Gangplank,",",Top,"Gangplank,Top",Gnar,52.94
Garen,",",Top,"Garen,Top",Sett,47.13
Garen,",",Top,"Garen,Top",Ornn,47.96
Garen,",",Top,"Garen,Top",Mordekaiser,48.87
Garen,",",Top,"Garen,Top",Darius,48.21
Garen,",",Top,"Garen,Top",Renekton,55.39
Garen,",",Top,"Garen,Top",Aatrox,53.09
Garen,",",Top,"Garen,Top",Fiora,51.98
Garen,",",Top,"Garen,Top",Vladimir,46.81
Garen,",",Top,"Garen,Top",Akali,50.14
Garen,",",Top,"Garen,Top",Irelia,56.83
Garen,",",Top,"Garen,Top",Jax,52.13
Garen,",",Top,"Garen,Top",Malphite,52.59
Garen,",",Top,"Garen,Top",Illaoi,54.13
Garen,",",Top,"Garen,Top",Teemo,48.21
Garen,",",Top,"Garen,Top",Shen,50.00
Garen,",",Top,"Garen,Top",Camille,42.36
Garen,",",Top,"Garen,Top",Vayne,45.49
Garen,",",Top,"Garen,Top",Kled,48.93
Garen,",",Top,"Garen,Top",Rengar,51.52
Garen,",",Top,"Garen,Top",Kayle,44.89
Garen,",",Top,"Garen,Top",Poppy,58.02
Garen,",",Top,"Garen,Top",Yasuo,54.47
Garen,",",Top,"Garen,Top",Quinn,52.25
Garen,",",Top,"Garen,Top",Riven,52.33
Garen,",",Top,"Garen,Top",Sylas,51.81
Garen,",",Top,"Garen,Top",Gangplank,53.21
Garen,",",Top,"Garen,Top",Lucian,52.19
Garen,",",Top,"Garen,Top",Soraka,39.46
Garen,",",Top,"Garen,Top",Rumble,48.20
Garen,",",Top,"Garen,Top",Nasus,53.18
Garen,",",Top,"Garen,Top",Yorick,45.85
Garen,",",Top,"Garen,Top",Singed,45.02
Garen,",",Top,"Garen,Top",Dr. Mundo,49.40
Garen,",",Top,"Garen,Top",Kennen,51.85
Garen,",",Top,"Garen,Top",Ryze,54.01
Garen,",",Top,"Garen,Top",Tryndamere,46.98
Garen,",",Top,"Garen,Top",Pantheon,51.35
Garen,",",Top,"Garen,Top",Volibear,55.50
Garen,",",Top,"Garen,Top",Maokai,47.28
Garen,",",Top,"Garen,Top",Gnar,46.84
Garen,",",Top,"Garen,Top",Olaf,54.55
Garen,",",Top,"Garen,Top",Zac,45.83
Garen,",",Top,"Garen,Top",Jayce,51.45
Garen,",",Top,"Garen,Top",Heimerdinger,49.57
Garen,",",Top,"Garen,Top",Cho'Gath,53.98
Garen,",",Top,"Garen,Top",Urgot,38.89
Garen,",",Top,"Garen,Top",Hecarim,47.37
Garen,",",Top,"Garen,Top",Sion,50.68
Garen,",",Top,"Garen,Top",Cassiopeia,49.18
Garen,",",Top,"Garen,Top",Nocturne,37.50
Gnar,",",Top,"Gnar,Top",Sett,42.82
Gnar,",",Top,"Gnar,Top",Ornn,51.41
Gnar,",",Top,"Gnar,Top",Darius,50.48
Gnar,",",Top,"Gnar,Top",Mordekaiser,47.13
Gnar,",",Top,"Gnar,Top",Aatrox,49.69
Gnar,",",Top,"Gnar,Top",Garen,53.16
Gnar,",",Top,"Gnar,Top",Fiora,43.67
Gnar,",",Top,"Gnar,Top",Vladimir,46.04
Gnar,",",Top,"Gnar,Top",Irelia,50.00
Gnar,",",Top,"Gnar,Top",Renekton,49.59
Gnar,",",Top,"Gnar,Top",Malphite,49.04
Gnar,",",Top,"Gnar,Top",Akali,60.00
Gnar,",",Top,"Gnar,Top",Kled,38.67
Gnar,",",Top,"Gnar,Top",Illaoi,46.38
Gnar,",",Top,"Gnar,Top",Yasuo,44.78
Gnar,",",Top,"Gnar,Top",Teemo,53.73
Gnar,",",Top,"Gnar,Top",Camille,43.28
Gnar,",",Top,"Gnar,Top",Sylas,31.15
Gnar,",",Top,"Gnar,Top",Jax,49.15
Gnar,",",Top,"Gnar,Top",Lucian,46.55
Gnar,",",Top,"Gnar,Top",Kennen,50.91
Gnar,",",Top,"Gnar,Top",Poppy,49.06
Gnar,",",Top,"Gnar,Top",Rumble,57.69
Gnar,",",Top,"Gnar,Top",Shen,38.46
Gnar,",",Top,"Gnar,Top",Gangplank,47.06
Hecarim,",",Top,"Hecarim,Top",Sett,46.71
Hecarim,",",Top,"Hecarim,Top",Aatrox,48.70
Hecarim,",",Top,"Hecarim,Top",Fiora,59.65
Hecarim,",",Top,"Hecarim,Top",Ornn,51.82
Hecarim,",",Top,"Hecarim,Top",Mordekaiser,53.61
Hecarim,",",Top,"Hecarim,Top",Renekton,54.88
Hecarim,",",Top,"Hecarim,Top",Garen,52.63
Hecarim,",",Top,"Hecarim,Top",Darius,46.67
Hecarim,",",Top,"Hecarim,Top",Akali,51.39
Hecarim,",",Top,"Hecarim,Top",Irelia,50.00
Hecarim,",",Top,"Hecarim,Top",Camille,50.94
Hecarim,",",Top,"Hecarim,Top",Vladimir,56.86
Hecarim,",",Top,"Hecarim,Top",Jax,58.00
Heimerdinger,",",Top,"Heimerdinger,Top",Sett,41.67
Heimerdinger,",",Top,"Heimerdinger,Top",Ornn,44.09
Heimerdinger,",",Top,"Heimerdinger,Top",Mordekaiser,53.52
Heimerdinger,",",Top,"Heimerdinger,Top",Darius,55.07
Heimerdinger,",",Top,"Heimerdinger,Top",Aatrox,49.69
Heimerdinger,",",Top,"Heimerdinger,Top",Renekton,51.43
Heimerdinger,",",Top,"Heimerdinger,Top",Vladimir,44.53
Heimerdinger,",",Top,"Heimerdinger,Top",Fiora,51.97
Heimerdinger,",",Top,"Heimerdinger,Top",Irelia,41.32
Heimerdinger,",",Top,"Heimerdinger,Top",Garen,50.43
Heimerdinger,",",Top,"Heimerdinger,Top",Teemo,53.21
Heimerdinger,",",Top,"Heimerdinger,Top",Akali,51.00
Heimerdinger,",",Top,"Heimerdinger,Top",Malphite,58.02
Heimerdinger,",",Top,"Heimerdinger,Top",Jax,58.02
Heimerdinger,",",Top,"Heimerdinger,Top",Ryze,45.33
Heimerdinger,",",Top,"Heimerdinger,Top",Illaoi,55.07
Heimerdinger,",",Top,"Heimerdinger,Top",Lucian,50.00
Heimerdinger,",",Top,"Heimerdinger,Top",Rumble,54.24
Heimerdinger,",",Top,"Heimerdinger,Top",Shen,45.61
Heimerdinger,",",Top,"Heimerdinger,Top",Rengar,46.43
Heimerdinger,",",Top,"Heimerdinger,Top",Kennen,66.04
Heimerdinger,",",Top,"Heimerdinger,Top",Quinn,58.49
Illaoi,",",Top,"Illaoi,Top",Sett,48.46
Illaoi,",",Top,"Illaoi,Top",Ornn,50.13
Illaoi,",",Top,"Illaoi,Top",Darius,52.95
